state,x,y
Jammu And Kashmir,-118.0,237.0
Punjab,-153.0,171.0
Himachal Pradesh,-117.0,188.0
Uttarakhand,-69.0,158.0
Haryana,-132.0,137.0
Rajasthan,-213.0,100.0
Delhi,-119.0,127.0
Uttar Pradesh,-49.0,87.0
Bihar,68.0,65.0
Gujarat,-275.0,17.0
Madhya Pradesh,-111.0,24.0
Maharashtra,-209.0,-57.0
Karnatak,-190.0,-131.0
Kerala,-157.0,-204.0
Tamil Nadu,-105.0,-201.0
Puducherry,-68.0,-179.0
Andhra Pradesh,-114.0,-112.0
Chhatisgarh,-33.0,-1.0
West Bengal,97.0,30.0
Sikkim,132.0,111.0
Arunachal Pradesh,241.0,118.0
Tripura,208.0,42.0
Meghalaya,178.0,74.0
Nagaland,268.0,90.0
Manipur,253.0,64.0
Mizoram,235.0,39.0
Jharkhand,36.0,38.0
Orissa,13.0,-22.0
Goa,-207.0,-111.0
Ladakh,-84.0,249.0
Lakshadweep,-254.0,-194.0
Andaman And Nicobar,262.0,-159.0
Dadra And Daman,-225.0,-21.0
Telangana,-111.0,-68.0
Assam,204.0,89.0




